year,month,dong,num,code,name,count,cost,Name
2021,10,노은동,80,P,교육 서비스업(85),448.57,272.63,교육
2021,10,노은동,81,Q,보건업 및 사회복지 서비스업(86-87),1219.53,642.97,보건업
2021,10,노은동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),2661.54,598.11,예술
2021,10,노은동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),977.95,617.54,협회
2021,10,지족동,67,C,제조업(10-34),590.98,482.92,제조업
2021,10,지족동,71,G,도매 및 소매업(45-47),1658.72,908.75,도매
2021,10,지족동,72,H,운수 및 창고업(49-52),114.06,170.1,운수
2021,10,지족동,73,I,숙박 및 음식점업(55-56),1411.55,1166.11,숙박
2021,10,지족동,74,J,정보통신업(58-63),5650,10938.74,정보통신업
2021,10,지족동,76,L,부동산업(68),366.67,1256.82,부동산업
2021,10,지족동,77,M,전문  과학 및 기술 서비스업(70-73),2912.5,542.89,전문
2021,10,지족동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),951.92,673.9,사업시설
2021,10,지족동,79,O,공공 행정  국방 및 사회보장 행정(84),825,1114.97,공공
2021,10,지족동,80,P,교육 서비스업(85),509.65,299.58,교육
2021,10,지족동,81,Q,보건업 및 사회복지 서비스업(86-87),1942.66,609.13,보건업
2021,10,지족동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),3177.78,373.06,예술
2021,10,지족동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),1207.93,486.75,협회
2021,10,죽동,67,C,제조업(10-34),408.33,265.01,제조업
2021,10,죽동,71,G,도매 및 소매업(45-47),2153.68,1285.28,도매
2021,10,죽동,72,H,운수 및 창고업(49-52),171.43,247.11,운수
2021,10,죽동,73,I,숙박 및 음식점업(55-56),1686.11,1222.21,숙박
2021,10,죽동,74,J,정보통신업(58-63),1383.33,1402.52,정보통신업
2021,10,죽동,77,M,전문  과학 및 기술 서비스업(70-73),1225,2255.68,전문
2021,10,죽동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),24.71,32.48,사업시설
2021,10,죽동,79,O,공공 행정  국방 및 사회보장 행정(84),1000,1209.44,공공
2021,10,죽동,80,P,교육 서비스업(85),953.95,485.58,교육
2021,10,죽동,81,Q,보건업 및 사회복지 서비스업(86-87),1828.93,423.66,보건업
2021,10,죽동,82,R,예술  스포츠 및 여가관련 서비스업(90-91),4638.46,275.88,예술
2021,10,죽동,83,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),1433.71,579.82,협회
2021,10,궁동,67,C,제조업(10-34),157.14,111.57,제조업
2021,10,궁동,71,G,도매 및 소매업(45-47),12075.57,9212.9,도매
2021,10,궁동,72,H,운수 및 창고업(49-52),1000,775.52,운수
2021,10,궁동,73,I,숙박 및 음식점업(55-56),7176.9,5892.55,숙박
2021,10,궁동,74,J,정보통신업(58-63),154900,59407.74,정보통신업
2021,10,궁동,77,M,전문  과학 및 기술 서비스업(70-73),3500,3129.75,전문
2021,10,궁동,78,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),8550,5448.35,사업시설
2021,10,궁동,80,P,교육 서비스업(85),1203.7,211.33,교육
