이용년,이용월,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,지수_이용건수,지수_이용금액
2021,01,30,대전광역시,30140,중구,3014011400,태평동,R,예술  스포츠 및 여가관련 서비스업(90-91),400.0,3691.22
2021,01,30,대전광역시,30140,중구,3014011400,태평동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),143.48,148.71
2021,01,30,대전광역시,30140,중구,3014011500,유천동,G,도매 및 소매업(45-47),1825.81,1389.6
2021,01,30,대전광역시,30140,중구,3014011500,유천동,I,숙박 및 음식점업(55-56),1850.98,1846.81
2021,01,30,대전광역시,30140,중구,3014011500,유천동,J,정보통신업(58-63),100.0,31.35
2021,01,30,대전광역시,30140,중구,3014011500,유천동,Q,보건업 및 사회복지 서비스업(86-87),175.0,950.18
2021,01,30,대전광역시,30140,중구,3014011500,유천동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),233.33,326.67
2021,01,30,대전광역시,30140,중구,3014011600,문화동,C,제조업(10-34),28.57,50.25
2021,01,30,대전광역시,30140,중구,3014011600,문화동,G,도매 및 소매업(45-47),4010.53,6230.83
2021,01,30,대전광역시,30140,중구,3014011600,문화동,I,숙박 및 음식점업(55-56),1707.96,1076.56
2021,01,30,대전광역시,30140,중구,3014011600,문화동,J,정보통신업(58-63),41.67,24.67
2021,01,30,대전광역시,30140,중구,3014011600,문화동,M,전문  과학 및 기술 서비스업(70-73),100.0,100.0
2021,01,30,대전광역시,30140,중구,3014011600,문화동,P,교육 서비스업(85),275.0,292.31
2021,01,30,대전광역시,30140,중구,3014011600,문화동,Q,보건업 및 사회복지 서비스업(86-87),195.65,209.43
2021,01,30,대전광역시,30140,중구,3014011600,문화동,R,예술  스포츠 및 여가관련 서비스업(90-91),41.67,25.23
2021,01,30,대전광역시,30140,중구,3014011600,문화동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),80.0,56.24
2021,01,30,대전광역시,30140,중구,3014011700,산성동,G,도매 및 소매업(45-47),188.5,205.89
2021,01,30,대전광역시,30140,중구,3014011700,산성동,I,숙박 및 음식점업(55-56),1569.7,1961.57
2021,01,30,대전광역시,30140,중구,3014011800,사정동,G,도매 및 소매업(45-47),36.11,52.75
2021,01,30,대전광역시,30140,중구,3014011800,사정동,I,숙박 및 음식점업(55-56),80.91,51.59
2021,01,30,대전광역시,30140,중구,3014011900,안영동,G,도매 및 소매업(45-47),193.33,80.71
2021,01,30,대전광역시,30170,서구,3017010100,복수동,G,도매 및 소매업(45-47),4610.0,3926.43
2021,01,30,대전광역시,30170,서구,3017010100,복수동,I,숙박 및 음식점업(55-56),1944.58,1743.47
2021,01,30,대전광역시,30170,서구,3017010100,복수동,Q,보건업 및 사회복지 서비스업(86-87),264.52,177.42
2021,01,30,대전광역시,30170,서구,3017010100,복수동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),310.0,340.64
2021,01,30,대전광역시,30170,서구,3017010200,변동,G,도매 및 소매업(45-47),21333.33,41885.97
2021,01,30,대전광역시,30170,서구,3017010200,변동,I,숙박 및 음식점업(55-56),3220.0,1910.89
2021,01,30,대전광역시,30170,서구,3017010200,변동,Q,보건업 및 사회복지 서비스업(86-87),191.67,213.07
2021,01,30,대전광역시,30170,서구,3017010300,도마동,G,도매 및 소매업(45-47),7159.09,7522.92
2021,01,30,대전광역시,30170,서구,3017010300,도마동,I,숙박 및 음식점업(55-56),2388.89,2462.0
2021,01,30,대전광역시,30170,서구,3017010300,도마동,J,정보통신업(58-63),383.33,393.19
2021,01,30,대전광역시,30170,서구,3017010300,도마동,Q,보건업 및 사회복지 서비스업(86-87),176.47,73.77
2021,01,30,대전광역시,30170,서구,3017010300,도마동,R,예술  스포츠 및 여가관련 서비스업(90-91),233.33,49.7
2021,01,30,대전광역시,30170,서구,3017010300,도마동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),27.27,169.14
2021,01,30,대전광역시,30170,서구,3017010400,정림동,G,도매 및 소매업(45-47),183.22,224.55
2021,01,30,대전광역시,30170,서구,3017010400,정림동,I,숙박 및 음식점업(55-56),3211.54,2929.72
2021,01,30,대전광역시,30170,서구,3017010400,정림동,J,정보통신업(58-63),10.71,7.51
2021,01,30,대전광역시,30170,서구,3017010400,정림동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),100.0,100.0
2021,01,30,대전광역시,30170,서구,3017010400,정림동,Q,보건업 및 사회복지 서비스업(86-87),614.29,1390.6
2021,01,30,대전광역시,30170,서구,3017010400,정림동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),18.18,4.62
2021,01,30,대전광역시,30170,서구,3017010500,용문동,G,도매 및 소매업(45-47),3827.27,2142.79
2021,01,30,대전광역시,30170,서구,3017010500,용문동,I,숙박 및 음식점업(55-56),2092.86,1772.44
2021,01,30,대전광역시,30170,서구,3017010500,용문동,J,정보통신업(58-63),133.33,150.64
2021,01,30,대전광역시,30170,서구,3017010500,용문동,Q,보건업 및 사회복지 서비스업(86-87),700.0,592.82
2021,01,30,대전광역시,30170,서구,3017010500,용문동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),50.0,20.28
2021,01,30,대전광역시,30170,서구,3017010600,탄방동,G,도매 및 소매업(45-47),3445.92,5092.74
2021,01,30,대전광역시,30170,서구,3017010600,탄방동,I,숙박 및 음식점업(55-56),1734.01,1310.52
2021,01,30,대전광역시,30170,서구,3017010600,탄방동,J,정보통신업(58-63),44.9,54.52
2021,01,30,대전광역시,30170,서구,3017010600,탄방동,Q,보건업 및 사회복지 서비스업(86-87),235.71,110.32
2021,01,30,대전광역시,30170,서구,3017010600,탄방동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),133.33,80.65
2021,01,30,대전광역시,30170,서구,3017010800,괴정동,G,도매 및 소매업(45-47),9730.77,11790.75
2021,01,30,대전광역시,30170,서구,3017010800,괴정동,I,숙박 및 음식점업(55-56),1608.42,1195.26
2021,01,30,대전광역시,30170,서구,3017010800,괴정동,Q,보건업 및 사회복지 서비스업(86-87),800.0,948.37
2021,01,30,대전광역시,30170,서구,3017010800,괴정동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),183.33,168.05
2021,01,30,대전광역시,30170,서구,3017010900,가장동,G,도매 및 소매업(45-47),3000.0,11599.25
2021,01,30,대전광역시,30170,서구,3017010900,가장동,I,숙박 및 음식점업(55-56),1705.26,1961.52
2021,01,30,대전광역시,30170,서구,3017010900,가장동,M,전문  과학 및 기술 서비스업(70-73),100.0,100.0
2021,01,30,대전광역시,30170,서구,3017010900,가장동,Q,보건업 및 사회복지 서비스업(86-87),77.78,42.67
2021,01,30,대전광역시,30170,서구,3017010900,가장동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),75.0,45.76
2021,01,30,대전광역시,30170,서구,3017011000,내동,G,도매 및 소매업(45-47),4789.09,9181.64
2021,01,30,대전광역시,30170,서구,3017011000,내동,I,숙박 및 음식점업(55-56),1725.31,1322.55
2021,01,30,대전광역시,30170,서구,3017011000,내동,J,정보통신업(58-63),100.0,155.17
2021,01,30,대전광역시,30170,서구,3017011000,내동,Q,보건업 및 사회복지 서비스업(86-87),349.02,144.08
2021,01,30,대전광역시,30170,서구,3017011000,내동,R,예술  스포츠 및 여가관련 서비스업(90-91),50.0,316.36
2021,01,30,대전광역시,30170,서구,3017011000,내동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),1933.33,506.82
2021,01,30,대전광역시,30170,서구,3017011100,갈마동,C,제조업(10-34),16.13,5.0
2021,01,30,대전광역시,30170,서구,3017011100,갈마동,G,도매 및 소매업(45-47),3780.35,4722.65
2021,01,30,대전광역시,30170,서구,3017011100,갈마동,I,숙박 및 음식점업(55-56),1735.73,1296.93
2021,01,30,대전광역시,30170,서구,3017011100,갈마동,J,정보통신업(58-63),191.89,158.49
2021,01,30,대전광역시,30170,서구,3017011100,갈마동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),116.67,87.84
2021,01,30,대전광역시,30170,서구,3017011100,갈마동,P,교육 서비스업(85),15.0,4885.5
2021,01,30,대전광역시,30170,서구,3017011100,갈마동,Q,보건업 및 사회복지 서비스업(86-87),7300.0,29325.0
2021,01,30,대전광역시,30170,서구,3017011100,갈마동,R,예술  스포츠 및 여가관련 서비스업(90-91),54.55,10.15
2021,01,30,대전광역시,30170,서구,3017011100,갈마동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),126.83,129.87
